Id,Account,Tweets,Following,Follower,Likes,#Follower_Used
HAFTBEFEHL,haftoffiziell,2485,28,98599,1342,5000
BARONESS,YourBaroness,1328,1373,43640,6,5000
SXTN,sxtn_love,1699,81,160,4239,160
GESTÖRT_ABER_GEIL,gagofficialpage,3,0,409,11,409
COUNTERFEIT,counterfeitrock,1771,97,38729,1601,5000
ALLE_FARBEN,AlleFarben,1249,8,4608,23,4608
CLUESO,cluesomusik,316,7,30486,5,5000
XAVIER_RUDD,xavierrudd,4827,2026,33576,6,5000
HEISSKALT,Heisskaltmusik,4148,265,5661,2490,5000
SEASICK_STEVE,SeasickSteve,556,1016,30128,151,5000
THE_SMITH_STREET_BAND,mattwalterphoto,11207,1223,4809,17192,4809
HO99O9,Ho99o9,7950,26,5340,1436,5000
JP_COOPER,JPCooperMusic,11754,2666,41684,13605,5000
TWIN_ATLANTIC,twinatlantic,8876,239,83832,5485,5000
FLOGGING_MOLLY,floggingmolly,1904,540,68521,825,5000
GLORIA,GloriaTrevi,51346,1888,4855172,259,0
DRUNKEN_MASTERS,drunken_masters,10357,845,15249,8560,5000
LOUIS_BERRY,louisberry,4958,2291,9590,10558,5000
MONTREAL,Montreal,16146,1416,146802,5257,5000
BOYS_NOIZE,boysnoize,25442,841,307131,6294,5000
LEIF_VOLLEBEKK,leifvollebekk,1315,216,2842,1636,2842
IMAGINE_DRAGONS,Imaginedragons,7624,19186,4493383,420,5000
FRANK_TURNER_&_THE_SLEEPING_SOULS,frankturner,26400,358,162189,394,5000
RED_FANG,RedFang,3644,63,29817,10,5000
STU_LARSEN,stularsen,12005,98,9027,1740,5000
GOGOL_BORDELLO,GogolBordello,2749,26,37155,98,5000
MILKY_CHANCE,MilkyChance,1195,169,70239,1280,5000
257ERS,257ers,1325,233,33488,1974,5000
KAKKMADDAFAKKA,kakkmaddafakka,3318,639,12959,1886,5000
JOMO,0xjomo,8989,1341,383,4428,383
ERIK_COHEN,BlauerSeegott,137,25,96,3,96
LORDE,lorde,3782,105,5599351,7128,5000
BILDERBUCH,bilderbuchmusik,1062,160,15032,622,5000
FUTURE_ISLANDS,futureislands,5883,2136,176126,16353,5000
DIE_ANTWOORD,DieAntwoord,1451,7,262788,2,5000
KODALINE,Kodaline,9287,2795,290319,7972,5000
MANDO_DIAO,Mando_Diao,640,188,17333,322,5000
ANTILOPEN_GANG,antilopengang,581,108,8184,852,5000
DIE_ORSONS,dieorsons,6392,481,44633,7641,5000
RANCID,Rancid,5808,329,140874,9815,5000
OF_MICE_&_MEN,OMandM,6568,75,1031263,2674,5000
ABER_HALLO,Ruhrmaus,1965,569,140,940,140
EDITORS,editorsofficial,968,7,38419,168,5000
PASSENGER,passengermusic,2466,570,486358,308,5000
KENSINGTON,kensingtonband,12652,2554,56533,482,5000
HALSEY,halsey,12177,2954,5364436,4674,5000
WOLFMOTHER,wolfmother,1273,484,32302,3889,5000
OK_KID,OKKIDMUSIK,984,121,8883,1146,5000
FRITTENBUDE,_frittenbude,2632,146,11800,94,5000
NEONSCHWARZ,NeonschwarzHH,1314,188,2571,966,2571
MOOSE_BLOOD,mooseblooduk,6670,101,50581,14905,5000
ALEX_MOFA_GANG,AlexMofaGang,234,61,304,319,303
DAVE_HAUSE_&_THE_MERMAID,hausedave,7167,531,24304,10492,5000
TALL_HEIGHTS,tallheights,4184,93,2885,1409,2885
ROYAL_BLOOD,royalblooduk,2483,247,213543,2424,5000
DIE_KASSIERER,diekassierer,2,0,139,0,139
DIE_BOYS,DIEBOYSx,170,13,25,8,25
PICTURES,Fascinatingpics,1036,316,4268119,8,5000
ARCHIVE,BBCArchive,8164,7430,84584,1537,5000
ALT-J,alt_J,2802,659,489519,123,5000
ANTJE_SCHOMAKER,antjeantjeantje,4,19,42,15,42
SSIO,SSIOffiziell,691,7,27942,2,5000
ME_FIRST_AND_THE_GIMME_GIMMES,GimmeGimmeDivas,218,22,5952,13,5000
MOTORBOOTY!,BradleyDetro,1395,231,88,3950,0
JORIS,jorisdemanmusic,349,224,1385,160,1385
THE_KING_BLUES,kingbluesband,8,0,844,0,844
FATONI,Fatonimusik,2091,462,5482,1449,5000
CASPER,Casper,30102,1602,112529,25799,5000
HIGHLY_SUSPECT,Highly_Suspect,9975,122,30149,11980,5000
RAMPUE,ChristianRampue,28,53,3,2,0
LP,iamlp,5829,1327,52467,5174,5000
ANTIHELD,timeycyrus,4833,102,8916,921,5000
SDP,sdp,13344,2646,4772,11397,4772
MOOP_MAMA,moopmama,2085,103,1560,377,1560
NATHANIEL_RATELIFF_&_THE_NIGHT_SWEATS,NRateliff,1317,183,33287,765,5000
A_DAY_TO_REMEMBER,adtr,3497,32,1033112,378,5000
MAXIMO_PARK,maximopark,5364,247,34597,2851,5000
BOY,listentoBOY,248,10,9868,0,5000
DIGITALISM_LIVE,DigitalismLive,0,0,0,0,0
AXWELL_Λ_INGROSSO,axwellingrosso1,592,35,7533,3091,5000
ACE_TEE_&_KWAM.E,tinah_ace,5795,329,406,100,406
DANKO_JONES,dankojones,13762,433,23992,19982,5000
RL_GRIME,RLGRIME,8734,150,211865,6108,5000
AMBER_RUN,AmberRun,14632,0,29007,31228,5000
BLINK-182,blink182,4576,182,1677260,18451,5000
SKINNY_LISTER,SkinnyLister,11773,330,8457,16687,5000
NOTHING_BUT_THIEVES,NBThieves,9143,729,73720,13625,5000
GREEN_DAY,GreenDay,1860,179,4890297,330,5000
DISCO_ENSEMBLE,discoensemble,967,698,3070,150,3070
THE_DIRTY_NIL,thedirtynil,7991,912,11082,4320,5000
FRITZ_KALKBRENNER,fkalkbrenner,758,142,5618,68,5000
SMILE_AND_BURN,smile_and_burn,2370,575,902,1819,902
YOU_ME_AT_SIX,youmeatsix,12210,1426,509459,9155,5000
JIMMY_EAT_WORLD,jimmyeatworld,4638,113506,2881318,2434,5000
IRIE_RÉVOLTÉS,irierevoltes,3677,566,4428,1542,4428
KONTRA_K,kontradobermann,180,8,2427,1,2427
JENNIFER_ROSTOCK,jrostock,713,4,19366,0,5000
LINKIN_PARK,linkinpark,6074,128,5727166,1544,5000
K.FLAY,kflay,22158,508,49438,3746,5000
CALLEJON,callejonmetal,771,114,8639,880,5000
