Source,Target,Weight
Sepultura,Watain,0.0004
Sepultura,Deserted_Fear,0.0008
Sepultura,In_Extremo,0.0002
Sepultura,Nightwish,0.03153333333333333
Sepultura,Amorphis,0.023866666666666668
Sepultura,Firewind,0.0106
Sepultura,Dirkschneider,0.0
Sepultura,Running_Wild,0.0002666666666666667
Sepultura,Epica,0.046933333333333334
Sepultura,Belphegor,0.033133333333333334
Sepultura,Arch_Enemy,0.03713333333333333
Sepultura,Knorkator,0.0006666666666666666
Sepultura,Doro,0.013733333333333334
Watain,Sepultura,0.046875
Watain,Deserted_Fear,0.0
Watain,In_Extremo,0.0
Watain,Nightwish,0.0859375
Watain,Amorphis,0.1015625
Watain,Firewind,0.0234375
Watain,Dirkschneider,0.0
Watain,Running_Wild,0.0
Watain,Epica,0.0703125
Watain,Belphegor,0.359375
Watain,Arch_Enemy,0.046875
Watain,Knorkator,0.0
Watain,Doro,0.0703125
Deserted_Fear,Sepultura,0.0670391061452514
Deserted_Fear,Watain,0.0
Deserted_Fear,In_Extremo,0.0
Deserted_Fear,Nightwish,0.03910614525139665
Deserted_Fear,Amorphis,0.16201117318435754
Deserted_Fear,Firewind,0.16759776536312848
Deserted_Fear,Dirkschneider,0.0
Deserted_Fear,Running_Wild,0.0
Deserted_Fear,Epica,0.03910614525139665
Deserted_Fear,Belphegor,0.21787709497206703
Deserted_Fear,Arch_Enemy,0.00558659217877095
Deserted_Fear,Knorkator,0.0335195530726257
Deserted_Fear,Doro,0.16201117318435754
In_Extremo,Sepultura,0.009316770186335404
In_Extremo,Watain,0.0
In_Extremo,Deserted_Fear,0.0
In_Extremo,Nightwish,0.040372670807453416
In_Extremo,Amorphis,0.037267080745341616
In_Extremo,Firewind,0.006211180124223602
In_Extremo,Dirkschneider,0.0
In_Extremo,Running_Wild,0.0
In_Extremo,Epica,0.015527950310559006
In_Extremo,Belphegor,0.009316770186335404
In_Extremo,Arch_Enemy,0.0
In_Extremo,Knorkator,0.034161490683229816
In_Extremo,Doro,0.037267080745341616
Nightwish,Sepultura,0.03153333333333333
Nightwish,Watain,0.0007333333333333333
Nightwish,Deserted_Fear,0.00046666666666666666
Nightwish,In_Extremo,0.0008666666666666666
Nightwish,Amorphis,0.059
Nightwish,Firewind,0.016733333333333333
Nightwish,Dirkschneider,0.0
Nightwish,Running_Wild,0.0005333333333333334
Nightwish,Epica,0.331
Nightwish,Belphegor,0.0458
