Id,Account,Tweets,Following,Follower,Likes,#Follower_Used
Sepultura,sepulturacombr,4314,153,119677,448,15000
Watain,WatainOfficial,0,0,128,0,128
Deserted_Fear,DesertedFear,31,67,179,24,179
In_Extremo,INEXTREMO7,785,34,322,572,322
Nightwish,NightwishBand,851,9,254809,14,15000
Amorphis,amorphis,4171,1601,77120,4265,15000
Firewind,firewindmusic,3155,8764,15276,972,15000
Dirkschneider,sammid_2015,1308,505,525,9247,525
Running_Wild,NBCRunningWild,2216,232,24243,596,15000
Epica,Epica,2435,22,210525,93,15000
Belphegor,_belphegor,1459,31,57990,1,15000
Arch_Enemy,archenemymetal,6100,44,234367,9023,15000
Knorkator,knorkatormusik,82,56,1089,91,1089
Doro,DoroOfficial,1448,717,13173,1379,13173
