cx0,cx1,cy0,cy1,fill,source,stroke,stroke-opacity,stroke-width,stroke_light,target,x0,x1,y0,y1
574.490723,490.779236,-51.967178,-58.558701,none,Firewind,#c98694,1.0,0.018752476,#f9f2f4,Sepultura,604.591736,465.072571,-77.673836,-88.659706
572.021729,541.80249,-90.097725,-157.588608,none,Firewind,#9a96e5,1.0,0.68208444,#f4f4fc,Amorphis,604.591736,554.226379,-77.673836,-190.158646
546.616516,424.906433,-54.509056,-106.72477,none,Firewind,#9a96e5,1.0,0.3942234,#f4f4fc,Belphegor,604.591736,401.741669,-77.673836,-164.700027
605.111755,533.484558,-29.402361,43.784889,none,Firewind,#c98694,1.0,0.027096273,#f9f2f4,Nightwish,604.591736,485.213104,-77.673836,44.304909
318.886322,418.362244,-67.611725,-108.266693,none,Arch_Enemy,#f97743,1.0,0.23986313,#fef1ec,Sepultura,299.279327,465.072571,-20.901421,-88.659706
316.417297,469.385529,-105.742279,-207.2966,none,Arch_Enemy,#c98694,1.0,0.09384666,#f9f2f4,Amorphis,299.279327,554.226379,-20.901421,-190.158646
291.012054,352.489471,-70.15361,-156.43277,none,Arch_Enemy,#c98694,1.0,0.25655073,#f9f2f4,Belphegor,299.279327,401.741669,-20.901421,-164.700027
331.677429,375.547302,-17.749912,35.574486,none,Arch_Enemy,#f97743,1.0,2.3883913,#fef1ec,Epica,299.279327,372.395782,-20.901421,67.97258
349.507355,461.067596,-45.046913,-5.923113,none,Arch_Enemy,#f97743,1.0,0.5402399,#fef1ec,Nightwish,299.279327,485.213104,-20.901421,44.304909
495.173584,578.885132,-114.366364,-107.774841,none,Sepultura,#c98694,1.0,0.018752476,#f9f2f4,Firewind,465.072571,604.591736,-88.659706,-77.673836
445.465576,345.989655,-41.949398,-1.29443,none,Sepultura,#f97743,1.0,0.23986313,#fef1ec,Arch_Enemy,465.072571,299.279327,-88.659706,-20.901421
462.603546,516.095825,-126.790253,-187.689621,none,Sepultura,#c98694,1.0,0.46514568,#f9f2f4,Amorphis,465.072571,554.226379,-88.659706,-190.158646
437.198334,399.199768,-91.201584,-136.825775,none,Sepultura,#c98694,1.0,0.7279753,#f9f2f4,Belphegor,465.072571,401.741669,-88.659706,-164.700027
477.863647,422.257599,-38.797886,55.181477,none,Sepultura,#f97743,1.0,1.2661504,#fef1ec,Epica,465.072571,372.395782,-88.659706,67.97258
495.693604,507.777924,-66.094887,13.683878,none,Sepultura,#f97743,1.0,0.4150829,#fef1ec,Nightwish,465.072571,485.213104,-88.659706,44.304909
586.796387,617.015625,-177.734756,-110.243874,none,Amorphis,#9a96e5,1.0,0.68208444,#f4f4fc,Firewind,554.226379,604.591736,-190.158646,-77.673836
537.08844,384.120178,-105.31778,-3.763458,none,Amorphis,#c98694,1.0,0.09384666,#f9f2f4,Arch_Enemy,554.226379,299.279327,-190.158646,-20.901421
556.695435,503.203094,-152.028091,-91.128738,none,Amorphis,#c98694,1.0,0.46514568,#f9f2f4,Sepultura,554.226379,465.072571,-190.158646,-88.659706
528.821167,437.330353,-154.569977,-139.2948,none,Amorphis,#9a96e5,1.0,3.4814286,#f4f4fc,Belphegor,554.226379,401.741669,-190.158646,-164.700027
569.48645,460.388153,-102.166275,52.712452,none,Amorphis,#c98694,1.0,0.5193804,#f9f2f4,Epica,554.226379,372.395782,-190.158646,67.97258
587.316406,545.908447,-129.463272,11.214852,none,Amorphis,#c98694,1.0,0.990805,#f9f2f4,Nightwish,554.226379,485.213104,-190.158646,44.304909
744.734558,594.037598,-98.242065,-129.505264,none,In_Extremo,#61a4a7,1.0,0.30754635,#eff5f6,Amorphis,805.387939,554.226379,-138.053314,-190.158646
788.243408,831.453369,-184.004456,-278.647919,none,In_Extremo,#28b36a,1.0,0.50188947,#e9f7f0,Knorkator,805.387939,877.404541,-138.053314,-295.792419
459.716919,581.426941,-187.864807,-135.649078,none,Belphegor,#9a96e5,1.0,0.3942234,#f4f4fc,Firewind,401.741669,604.591736,-164.700027,-77.673836
410.008942,348.531525,-115.447838,-29.168673,none,Belphegor,#c98694,1.0,0.25655073,#f9f2f4,Arch_Enemy,401.741669,299.279327,-164.700027,-20.901421
429.615906,467.614471,-162.158142,-116.533951,none,Belphegor,#c98694,1.0,0.7279753,#f9f2f4,Sepultura,401.741669,465.072571,-164.700027,-88.659706
427.146881,518.637695,-200.288696,-215.563873,none,Belphegor,#9a96e5,1.0,3.4814286,#f4f4fc,Amorphis,401.741669,554.226379,-164.700027,-190.158646
442.407013,424.799469,-112.296326,27.307234,none,Belphegor,#c98694,1.0,0.55275553,#f9f2f4,Epica,401.741669,372.395782,-164.700027,67.97258
460.236938,510.319824,-139.593323,-14.190369,none,Belphegor,#c98694,1.0,0.65705305,#f9f2f4,Nightwish,401.741669,485.213104,-164.700027,44.304909
680.046692,664.864502,-293.461243,-127.82515,none,Deserted_Fear,#9a96e5,1.0,1.7703674,#f4f4fc,Firewind,629.895386,604.591736,-353.734009,-77.673836
649.945679,551.052002,-267.754578,-108.709991,none,Deserted_Fear,#c98694,1.0,0.3719655,#f9f2f4,Sepultura,629.895386,465.072571,-353.734009,-88.659706
647.476685,602.075256,-305.885132,-207.739914,none,Deserted_Fear,#9a96e5,1.0,1.7703674,#f4f4fc,Amorphis,629.895386,554.226379,-353.734009,-190.158646
622.071472,485.179199,-270.296478,-156.876083,none,Deserted_Fear,#9a96e5,1.0,1.7703674,#f4f4fc,Belphegor,629.895386,401.741669,-353.734009,-164.700027
690.985535,839.491028,-391.647522,-356.882568,none,Deserted_Fear,#61a4a7,1.0,0.488499,#eff5f6,Knorkator,629.895386,877.404541,-353.734009,-295.792419
339.997681,296.127808,64.821068,11.496673,none,Epica,#f97743,1.0,2.3883913,#fef1ec,Arch_Enemy,372.395782,299.279327,67.97258,-20.901421
359.604706,415.210754,18.11076,-75.868607,none,Epica,#f97743,1.0,1.2661504,#fef1ec,Sepultura,372.395782,465.072571,67.97258,-88.659706
357.135651,466.233978,-20.019787,-174.898514,none,Epica,#c98694,1.0,0.5193804,#f9f2f4,Amorphis,372.395782,554.226379,67.97258,-190.158646
331.730438,349.337982,15.56888,-124.034683,none,Epica,#c98694,1.0,0.55275553,#f9f2f4,Belphegor,372.395782,401.741669,67.97258,-164.700027
390.225739,457.916107,40.675579,26.474979,none,Epica,#f97743,1.0,5.0,#fef1ec,Nightwish,372.395782,485.213104,67.97258,44.304909
833.895691,639.98877,-210.030014,-146.649765,none,Knorkator,#61a4a7,1.0,0.03830945,#eff5f6,Amorphis,877.404541,554.226379,-295.792419,-190.158646
894.549072,851.339111,-249.841278,-155.197815,none,Knorkator,#28b36a,1.0,0.0,#e9f7f0,In_Extremo,877.404541,805.387939,-295.792419,-138.053314
337.297241,546.426453,-193.56134,-158.928009,none,Watain,#9a96e5,1.0,0.11522764,#f4f4fc,Firewind,256.043091,604.591736,-135.396042,-77.673836
287.589264,313.531006,-121.144363,-52.447594,none,Watain,#c98694,1.0,0.27819246,#f9f2f4,Arch_Enemy,256.043091,299.279327,-135.396042,-20.901421
307.196259,432.613922,-167.854675,-139.812866,none,Watain,#c98694,1.0,0.11522764,#f9f2f4,Sepultura,256.043091,465.072571,-135.396042,-88.659706
304.727234,483.637207,-205.985214,-238.842789,none,Watain,#9a96e5,1.0,1.4189461,#f4f4fc,Amorphis,256.043091,554.226379,-135.396042,-190.158646
279.321991,366.74115,-170.396545,-187.978943,none,Watain,#9a96e5,1.0,4.5152774,#f4f4fc,Belphegor,256.043091,401.741669,-135.396042,-164.700027
319.987366,389.798981,-117.992859,4.028316,none,Watain,#c98694,1.0,0.27819246,#f9f2f4,Epica,256.043091,372.395782,-135.396042,67.97258
337.817291,475.319275,-145.289856,-37.469288,none,Watain,#c98694,1.0,0.76708686,#f9f2f4,Nightwish,256.043091,485.213104,-135.396042,44.304909
484.693085,556.320251,-3.966566,-77.153816,none,Nightwish,#c98694,1.0,0.027096273,#f9f2f4,Firewind,485.213104,604.591736,44.304909,-77.673836
434.985077,323.424835,68.450401,29.326601,none,Nightwish,#f97743,1.0,0.5402399,#fef1ec,Arch_Enemy,485.213104,299.279327,44.304909,-20.901421
454.592072,442.507751,21.740091,-58.038673,none,Nightwish,#f97743,1.0,0.4150829,#fef1ec,Sepultura,485.213104,465.072571,44.304909,-88.659706
452.123047,493.531006,-16.390457,-157.068588,none,Nightwish,#c98694,1.0,0.990805,#f9f2f4,Amorphis,485.213104,554.226379,44.304909,-190.158646
426.717834,376.634949,19.198204,-106.204742,none,Nightwish,#c98694,1.0,0.65705305,#f9f2f4,Belphegor,485.213104,401.741669,44.304909,-164.700027
467.383148,399.69278,71.601913,85.802505,none,Nightwish,#f97743,1.0,5.0,#fef1ec,Epica,485.213104,372.395782,44.304909,67.97258
